X,Y,Z-HLR,Z-AM,Z,Z-Manual,Section
392201.6,6983091.88,312.589177,312.612089,311.8525,311.75,1
392203.27,6983111.81,313.462821,313.520696,313.2675,311.9,2
392204.94,6983131.74,314.240605,314.304133,314.43,312.1,3
392206.6125,6983151.67,314.618283,314.649081,314.77,312.25,4
392208.2875,6983171.6,314.424746,314.416711,314.4525,312.4,5
392209.96,6983191.53,314.054746,314.041763,314.0825,312.55,6
392211.63,6983211.46,313.888767,313.926175,313.755,312.7,7
392213.3,6983231.39,313.684354,313.76711,313.615,312.9,8
392214.97,6983251.32,313.141259,313.207025,313.3175,313.05,9
392216.6425,6983271.25,312.351011,312.374346,312.4075,313.2,10
392218.3175,6983291.18,311.552838,311.555755,311.4975,313.4,11
392219.99,6983311.11,311.185,311.185,311.185,313.55,12
392221.66,6983331.04,311.562972,311.562407,311.5375,313.7,13
392223.33,6983350.97,312.312075,312.307558,312.295,313.85,14
392225,6983370.9,313.02419,313.012496,313.0975,314,15
392226.6725,6983390.83,313.847587,313.839845,313.9125,314.2,16
392228.3475,6983410.76,314.979771,314.997523,314.795,314.35,17
392230.02,6983430.69,316.258804,316.304042,315.96,314.5,18
392231.69,6983450.62,317.442278,317.496519,317.355,314.7,19
392233.36,6983470.55,318.325342,318.375904,318.46,314.85,20
392235.03,6983490.48,318.74507,318.789578,319.04,315,21
392236.7025,6983510.41,318.668676,318.706816,319.0725,315.15,22
392238.3775,6983530.34,318.153203,318.186196,318.37,315.3,23
392240.05,6983550.27,317.484869,317.5216,317.2825,315.5,24
392241.72,6983570.2,316.949673,317.003363,316.6175,315.65,25
392243.39,6983590.13,316.603573,316.672316,316.51,315.8,26
392245.06,6983610.06,316.397063,316.464072,316.6575,316,27
392246.7325,6983629.99,316.088822,316.142866,316.445,316.15,28
392248.4075,6983649.92,315.497888,315.536627,315.43,316.3,29
392250.08,6983669.85,314.876556,314.899428,314.395,316.45,30
392251.75,6983689.78,314.506696,314.514095,314.225,316.6,31
392253.42,6983709.71,314.355222,314.352322,314.359909,316.8,32
392255.0925,6983729.64,314.345131,314.342254,314.349818,316.95,33
392257.0475,6983749.5375,314.53871,314.548966,314.590078,317.1,34
392260.05,6983769.2725,314.998426,315.031826,315.012746,317.25,35
392264.79,6983788.64,315.648166,315.69044,315.720156,317.4,36
392271.44,6983807.44,316.393879,316.412825,316.502915,317.6,37
392279.9325,6983825.485,317.208321,317.200422,317.080324,317.75,38
392290.1725,6983842.6,318.057712,318.050038,317.929716,317.9,39
392301.775,6983858.855,318.815299,318.826545,318.922046,318.1,40
392314.0075,6983874.6725,319.356074,319.389836,319.599726,318.25,41
392326.35,6983890.41,319.654989,319.711842,319.689909,318.4,42
392338.6925,6983906.1475,319.729139,319.807521,319.47,318.55,43
392351.0375,6983921.8825,319.664247,319.751908,319.64,318.7,44
392363.3825,6983937.6175,319.52967,319.605709,319.82,318.9,45
392375.7275,6983953.3525,319.260664,319.312243,319.36,319.05,46
392388.0725,6983969.09,318.801401,318.827109,318.785,319.2,47
392400.4175,6983984.8275,318.265813,318.272432,318.3075,319.4,48
392412.7625,6984000.5625,317.794302,317.793587,317.575,319.55,49
392425.1075,6984016.2975,317.463386,317.462431,317.2175,319.7,50